I [A],grade,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L,0.257468270552296,0.258597941701298,0.259572114574372,0.257937405469172,0.256620717924069,0.254939438707341,0.249406980537533,0.241361566739238,0.236417943382269,0.231149647281835,0.213925283541269,0.203277787519791,0.189101458044461,0.178670367796716,0.165818089388061,0.150970530566187,0.139042922865428,0.124521885740615,0.11029964094009,0.100882551214364,0.083444085058504,0.083694364463002,0.066852011547364,0.052152255977685,0.047383141258686,0.043542148529067,0.040487728467233,0.039497187117237,0.038676255932186,0.037499117600881,0.036999791120809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flux,0.257468270552296,0.258597941701298,0.259572114574372,0.257937405469172,0.256620717924069,0.254939438707341,0.249406980537533,0.241361566739238,0.236417943382269,0.231149647281835,0.213925283541269,0.203277787519791,0.189101458044461,0.178670367796716,0.165818089388061,0.150970530566187,0.139042922865428,0.124521885740615,0.11029964094009,0.100882551214364,0.083444085058504,0.083694364463002,0.066852011547364,0.052152255977685,0.047383141258686,0.043542148529067,0.040487728467233,0.039497187117237,0.038676255932186,0.037499117600881,0.036999791120809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I [A],grade,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2,U,87.8,88.5,88.7,88.1,87.6,87,85.7,83.5,81.8,79.9,75.6,72.9,67.9,64.2,59.8,55,51,46.5,41.8,38.8,33.2,33.2,27.99,23.4,21.9,20.62,19.95,19.53,19.43,19.16,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P,19.3,21.8,22.3,21.1,20.7,20.5,20.2,19.5,19.5,18.7,18.1,18.4,18.1,17.8,17.4,17,16.6,16.3,16.2,15.9,15.8,15.2,15.32,15.47,15.23,15,15.47,15.27,15.45,15.51,15.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Z,73.1666666666667,73.75,73.9166666666667,73.4166666666667,73,72.5,71.4166666666667,69.5833333333333,68.1666666666667,66.5833333333333,63,60.75,56.5833333333333,53.5,49.8333333333333,45.8333333333333,42.5,38.75,34.8333333333333,32.3333333333333,27.6666666666667,27.6666666666667,23.325,19.5,18.25,17.1833333333333,16.625,16.275,16.1916666666667,15.9666666666667,15.8333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,13.4027777777778,15.1388888888889,15.4861111111111,14.6527777777778,14.375,14.2361111111111,14.0277777777778,13.5416666666667,13.5416666666667,12.9861111111111,12.5694444444444,12.7777777777778,12.5694444444444,12.3611111111111,12.0833333333333,11.8055555555556,11.5277777777778,11.3194444444444,11.25,11.0416666666667,10.9722222222222,10.5555555555556,10.6388888888889,10.7430555555556,10.5763888888889,10.4166666666667,10.7430555555556,10.6041666666667,10.7291666666667,10.7708333333333,10.8888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,71.9286219731104,72.1794745284965,72.2762338100529,71.9395791469446,71.5706600151207,71.088558435462,70.0254362956423,68.2529379709523,66.8080661921398,65.3046797403345,61.7333707678272,59.3910001183827,55.1695810883963,52.0524056321969,48.3461908185812,44.2868298986181,40.9067273135627,37.0598526369053,32.9666287495569,30.3895712649367,25.3979287334739,25.5739064547837,20.7574003239779,16.2738058649551,14.872877935053,13.6660162446852,12.6876862481008,12.3461441067872,12.1266257501142,11.786585330366,11.4946310601896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L,0.229072044500352,0.229870937988842,0.230179088567047,0.229106939958422,0.227932038264716,0.226396682915484,0.223010943616695,0.217366044493479,0.212764542013184,0.207976687071129,0.196603091617284,0.189143312478926,0.175699302829288,0.165771992459226,0.15396876056873,0.141040859549739,0.13027620163555,0.118025008397788,0.104989263533621,0.096782074092155,0.080885123355012,0.08144556195791,0.066106370458528,0.051827407213233,0.047365853296347,0.043522344728297,0.040406644102232,0.039318930276392,0.038619827229663,0.03753689595658,0.036607105287228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
